period,ward,category,actual_spend,growth,formula,trend_pred,ml_anomaly,flag
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.3,N/A,"N/A — first period, no prior month",13.59,no,
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,12.2,-8.3%,((12.2 - 13.3) / 13.3) x 100,13.85,no,
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,12.3,+0.8%,((12.3 - 12.2) / 12.2) x 100,14.11,no,
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.4,+8.9%,((13.4 - 12.3) / 12.3) x 100,14.36,no,
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,14.1,+5.2%,((14.1 - 13.4) / 13.4) x 100,14.62,no,
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,14.8,+5.0%,((14.8 - 14.1) / 14.1) x 100,14.88,no,
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,19.7,+33.1%,((19.7 - 14.8) / 14.8) x 100,15.14,YES,ANOMALY DETECTED
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,20.2,+2.5%,((20.2 - 19.7) / 19.7) x 100,15.39,YES,ANOMALY DETECTED
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,20.1,-0.5%,((20.1 - 20.2) / 20.2) x 100,15.65,no,
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.1,-34.8%,((13.1 - 20.1) / 20.1) x 100,15.91,no,
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,14.2,+8.4%,((14.2 - 13.1) / 13.1) x 100,16.17,no,
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,12.7,-10.6%,((12.7 - 14.2) / 14.2) x 100,16.43,no,
ML_TREND,Ward 1 – Kasba,Roads & Pothole Repair,—,—,LinearRegression: spend = 0.2577 x period_idx + 13.5910  (R2=0.089),—,—,
ML_FORECAST_NEXT,Ward 1 – Kasba,Roads & Pothole Repair,—,—,LinearRegression prediction for period 12,16.68,—,
